,index,State,Education,EmploymentStatus,Marital Status,Gender,Customer Lifetime Value,Number of Open Complaints,Months Since Policy Inception,Monthly Premium Auto,Location Code
0,0,50,1,10,3,20,2763.519279,0,5,69,3
1,2,40,1,10,3,20,12887.43165,0,38,108,3
2,4,50,1,10,1,10,2813.692575,0,44,73,1
3,5,20,1,10,3,20,8256.2978,0,94,69,1
4,6,20,5,10,3,20,5380.898636,0,13,67,3
5,8,20,1,40,2,10,24127.50402,0,3,71,3
6,9,20,5,10,3,20,7388.178085,0,7,93,2
7,12,30,2,10,3,10,8798.797003,2,82,110,2
8,13,10,3,10,3,10,8819.018934,1,25,110,3
9,14,30,5,10,1,10,5384.431665,2,10,70,2
10,15,20,1,10,3,20,7463.139377,1,50,64,1
11,16,40,3,40,3,10,2566.867823,0,7,67,3
12,17,30,5,40,3,10,3945.241604,0,59,101,3
13,18,20,5,10,3,10,5710.333115,0,1,72,2
14,19,30,3,10,3,20,8162.617053,0,21,101,3
15,20,20,3,10,1,10,2872.051273,0,21,74,3
16,21,50,1,30,2,20,3041.791561,0,49,79,3
17,22,10,1,40,2,10,24127.50402,0,3,71,3
18,24,30,1,30,3,20,2392.10789,0,91,61,3
19,25,20,5,10,3,10,5802.065978,0,1,72,3
20,27,50,2,30,3,20,5346.916576,0,64,139,2
21,28,10,5,10,1,20,12902.56014,2,54,111,3
22,29,20,2,10,3,20,3235.360468,1,44,80,3
23,30,10,5,10,3,10,2454.58354,1,6,63,3
24,31,40,3,10,3,10,18975.45611,0,14,237,2
25,33,50,1,10,3,10,5018.885233,0,17,63,3
26,34,20,1,10,3,20,4932.916345,0,42,62,1
27,35,10,3,10,3,20,5744.229745,0,40,71,2
28,36,30,1,10,3,10,13891.73567,0,62,117,3
29,37,20,2,10,3,20,7380.976717,0,86,91,3
30,39,10,3,10,2,10,2521.633095,2,15,66,1
31,41,20,5,10,1,20,2771.045031,0,32,71,1
32,42,30,1,10,3,20,3939.00637,0,28,99,3
33,43,10,3,10,3,10,12231.87968,0,16,103,3
34,44,50,5,10,3,10,2443.665166,0,56,61,3
35,45,20,4,30,3,20,12819.10289,3,4,172,1
36,47,20,3,10,1,20,5514.344018,0,10,71,3
37,50,20,5,10,3,10,36707.42639,0,28,104,3
38,51,30,1,10,2,20,33473.34946,0,95,106,3
39,52,40,3,10,3,20,7983.431709,3,40,69,1
40,53,50,1,10,1,10,4854.745666,0,44,64,3
41,54,30,1,30,3,10,4293.997319,0,26,113,3
42,55,10,5,10,2,20,7164.395543,0,53,91,3
43,56,30,5,10,3,10,7619.5158,0,59,64,2
44,58,20,3,30,2,20,4499.493252,2,47,124,3
45,59,20,2,30,2,20,4059.567414,0,98,108,3
46,61,30,1,40,3,20,8110.333139,0,50,105,3
47,63,30,3,10,3,20,24261.01777,0,86,100,1
48,65,50,5,10,3,10,2930.693543,0,71,73,3
49,66,20,5,10,2,20,8672.194272,0,60,112,3
50,67,10,3,10,3,20,11638.66926,0,65,97,2
51,69,30,5,30,3,20,11727.77648,0,0,102,3
52,70,20,3,10,2,10,22643.83478,0,12,113,1
53,71,20,2,10,3,10,2614.474305,0,27,65,1
54,72,20,2,40,3,10,2451.752695,2,47,64,3
55,74,20,1,10,2,10,4974.801539,3,68,65,3
56,75,20,1,10,3,10,8591.604933,0,38,73,3
57,76,20,3,10,1,20,5592.161392,0,48,71,1
58,77,40,5,10,3,10,8009.472833,0,33,67,3
59,78,50,5,10,3,10,11318.08982,2,83,99,1
60,79,30,1,10,1,10,58166.55351,1,30,186,1
61,81,30,3,10,1,10,5780.182197,0,0,74,3
62,82,30,4,10,3,10,4118.539113,0,54,102,3
63,83,40,2,10,3,10,2523.07015,0,15,63,3
64,84,20,5,30,1,20,6554.216396,0,69,90,3
65,85,50,3,10,3,10,7703.397294,1,32,66,3
66,87,30,1,10,3,20,2683.470677,3,79,69,2
67,88,20,1,10,2,20,2695.182419,0,12,67,3
68,89,30,5,10,3,10,6047.02516,1,60,76,3
69,90,20,5,40,3,10,13171.01282,1,81,119,3
70,91,50,1,10,3,20,10656.88195,0,3,88,3
71,92,20,1,10,3,20,2527.653796,0,84,63,1
72,93,20,1,10,3,10,2672.095756,0,88,67,3
73,95,20,1,10,3,20,20946.19251,1,26,74,3
74,96,10,2,40,3,20,8375.353929,0,18,109,1
75,97,30,1,40,3,10,4801.661503,0,11,62,3
76,98,10,1,10,3,20,5745.94334,3,87,74,2
77,99,20,5,10,3,10,6066.115969,0,60,76,3
78,102,20,1,10,1,10,4762.8179,1,85,62,1
79,103,30,5,10,3,10,4330.38602,0,18,107,3
80,105,20,1,10,3,20,6966.694527,0,93,88,1
81,106,30,1,10,3,20,7694.064293,0,34,65,1
82,108,30,1,10,3,20,5928.748528,0,32,74,1
83,109,20,5,10,3,10,2452.977288,1,86,62,2
84,110,30,5,10,3,10,6701.571657,0,18,85,3
85,111,50,3,10,2,10,7556.24034,1,2,98,3
86,112,10,5,10,3,10,8492.6988,0,54,109,3
87,113,20,1,10,1,10,7713.494046,2,32,66,3
88,114,50,3,10,3,10,24084.5352,0,54,67,3
89,117,10,3,10,3,10,6806.491395,0,77,86,3
90,118,30,1,10,1,20,2469.781334,0,10,62,3
91,119,30,5,10,3,20,3103.923041,2,90,78,2
92,121,30,1,10,3,10,8902.737595,0,3,112,1
93,122,20,3,10,3,20,5499.447223,0,77,68,3
94,123,30,3,10,1,10,15023.59858,0,77,192,3
95,124,40,1,10,3,20,2509.107875,0,11,63,1
96,125,20,5,10,2,10,31221.7481,1,27,113,3
97,126,20,2,10,1,20,3133.503432,0,26,78,1
98,127,10,5,10,3,10,3837.451863,0,37,97,2
99,130,10,3,10,3,10,4305.808345,0,82,109,3
100,131,40,1,10,3,20,5973.976904,0,8,74,1
101,132,20,1,10,3,20,5670.442396,1,35,72,2
102,133,10,5,10,3,10,4731.749346,0,99,118,3
103,136,20,3,10,3,20,9618.310865,0,83,119,1
104,138,20,5,10,3,20,9552.926922,0,70,79,2
105,139,10,1,10,1,20,10388.55323,0,55,89,2
106,141,10,2,10,3,10,5619.068508,0,54,140,2
107,143,50,3,10,3,10,6692.143668,0,49,168,3
108,145,40,1,10,3,10,3660.770258,0,30,92,2
109,147,10,1,10,2,20,5011.751577,3,51,67,3
110,148,10,3,10,3,20,7988.258292,0,21,99,1
111,150,50,1,10,1,10,2659.337982,0,65,70,3
112,151,50,3,10,3,10,8564.768226,0,29,107,1
113,152,10,3,30,3,10,4885.162511,0,7,126,3
114,153,10,1,40,3,20,9753.307106,0,5,127,1
115,154,30,1,10,1,20,2946.153697,0,90,74,2
116,155,30,3,10,3,10,2581.110945,0,55,65,3
117,156,20,5,10,1,10,3517.385764,0,89,92,1
118,157,20,1,10,3,20,9743.350113,0,27,82,3
119,159,10,1,10,3,20,7649.28199,1,8,64,1
120,161,50,5,10,3,20,4475.424592,0,63,111,2
121,165,20,2,40,3,10,7771.158973,0,28,68,3
122,168,20,3,10,2,20,19776.56654,0,57,82,2
123,170,30,5,40,3,10,2413.139714,0,0,63,3
124,171,20,4,30,2,20,15363.84716,0,99,101,2
125,172,40,5,10,2,20,8456.961887,1,4,73,1
126,174,30,3,10,1,10,5780.182197,0,0,74,3
127,175,30,1,10,3,20,4639.981638,0,37,117,1
128,176,50,5,10,3,20,4465.335703,0,48,112,1
129,177,10,1,10,3,20,5968.118877,0,47,74,2
130,179,30,1,10,2,20,4076.634665,0,51,104,3
131,181,40,1,10,3,20,16936.27147,2,29,217,3
132,182,20,3,10,3,10,4892.435461,0,17,62,3
133,183,40,1,10,1,10,9942.304791,0,57,85,3
134,185,30,3,10,1,20,13117.52215,4,98,111,3
135,186,30,5,10,1,20,4574.524094,0,53,114,3
136,187,10,1,10,3,20,5470.060561,0,11,138,3
137,188,30,1,10,1,20,2978.84601,0,17,76,2
138,189,20,5,10,3,10,6410.967544,2,41,82,2
139,190,30,2,10,3,10,4479.023088,1,79,111,2
140,192,30,1,10,3,10,2764.493659,1,34,70,3
141,193,20,1,10,3,20,7920.105377,3,31,67,3
142,195,50,1,10,3,20,3274.194616,0,33,81,3
143,196,20,3,10,1,10,9951.707743,0,1,255,3
144,197,20,1,10,1,10,2521.555686,2,45,67,1
145,199,30,5,10,3,10,6047.02516,1,60,76,3
146,200,30,2,30,1,20,11140.30248,0,28,150,3
147,202,10,3,10,3,20,2799.74791,0,54,69,3
148,206,30,5,10,3,20,2924.976721,0,64,72,2
149,207,30,5,10,3,10,15014.0927,0,53,190,3
150,208,20,3,10,2,20,9277.233839,0,0,116,3
151,209,50,1,10,3,20,6274.123875,0,6,78,1
152,210,30,3,10,1,10,3886.647414,0,34,98,3
153,212,50,5,10,3,10,11365.26766,0,69,95,2
154,213,30,3,10,1,20,5610.96434,0,35,70,2
155,214,10,5,10,2,10,2912.892035,0,67,74,3
156,215,20,5,10,3,20,6915.729915,0,23,85,3
157,216,20,5,10,3,10,6262.663307,0,71,159,2
158,217,20,3,30,3,20,6503.397049,0,9,84,3
159,219,30,5,10,3,10,2929.916512,0,69,72,3
160,220,20,1,10,3,20,5969.55297,0,72,74,3
161,221,30,1,10,2,10,5473.15987,0,96,69,3
162,222,40,3,10,2,10,5645.396665,0,5,72,3
163,223,50,3,10,1,10,6369.262355,0,72,83,3
164,224,20,5,30,3,20,11833.76732,0,53,103,3
165,225,20,5,10,3,20,6121.107929,0,50,77,3
166,227,40,3,10,1,20,2514.59196,0,58,65,1
167,228,10,3,10,3,10,8668.611261,2,72,114,2
168,229,30,1,30,3,10,4960.965384,0,16,66,3
169,231,10,5,10,1,10,7507.455372,0,61,64,2
170,232,10,3,10,3,10,32269.85139,0,70,90,2
171,235,30,1,10,3,10,5912.783829,0,84,73,3
172,236,30,1,10,3,20,15182.27975,0,30,63,1
173,237,50,5,10,2,10,10747.03094,0,77,136,2
174,239,50,1,10,1,20,2465.444865,1,99,63,3
175,240,40,3,10,3,20,5343.121327,0,42,66,3
176,241,10,5,10,3,20,8119.829071,0,77,67,1
177,243,30,5,10,3,10,6408.785577,5,37,84,3
178,245,30,1,30,2,10,3211.070017,0,84,86,3
179,246,10,1,10,2,20,5094.522262,0,38,64,3
180,249,30,2,10,3,10,8044.73072,0,79,67,3
181,251,40,1,10,2,20,16706.11699,0,98,70,3
182,252,10,4,10,1,10,8544.411077,0,13,109,3
183,254,20,1,10,3,10,6112.756868,0,73,77,2
184,256,20,1,10,3,20,10979.09559,0,64,135,2
185,257,30,2,10,3,20,5004.263818,1,83,63,2
186,258,50,1,10,3,10,13223.04379,2,0,84,3
187,259,20,1,10,2,20,2623.31543,0,28,65,1
188,261,30,5,10,3,20,5106.111827,0,4,64,1
189,262,10,5,40,2,20,17930.60451,0,77,68,3
190,263,10,3,10,3,10,5457.342569,0,65,67,3
191,264,30,1,10,3,10,6563.644143,0,83,83,3
192,265,20,5,40,3,10,4812.525221,0,40,63,1
193,266,10,2,10,1,20,29328.04185,0,7,94,1
194,267,10,1,10,3,20,5773.520711,0,86,72,3
195,268,30,5,10,3,10,6847.1189,0,56,86,1
196,270,40,2,40,3,20,22855.61209,0,32,65,1
197,272,20,3,10,3,10,4115.577437,0,27,103,3
198,274,50,1,10,3,20,4821.418454,4,46,128,3
199,275,20,2,30,3,10,5004.310469,0,53,65,1
200,276,10,5,10,2,10,8630.053943,0,1,111,3
201,277,10,3,10,3,20,9322.08512,0,50,116,1
202,279,20,3,10,3,20,3652.532435,0,85,92,3
203,282,40,3,10,3,10,5569.456156,1,34,71,3
204,283,50,1,10,3,10,2576.513006,1,14,66,3
205,284,50,1,10,1,10,8346.983233,0,79,108,1
206,285,10,3,10,3,20,6323.923864,0,87,78,3
207,286,10,1,10,3,20,5973.14343,0,90,73,3
