,Customer,Income,Marital Status
0,BU79786,56274.0,Married
1,QZ44356,0.0,Single
2,AI49188,48767.0,Married
3,WW63253,0.0,Married
4,HB64268,43836.0,Single
5,OC83172,62902.0,Married
6,XZ87318,55350.0,Married
7,CF85061,0.0,Single
8,DY87989,14072.0,Divorced
9,BQ94931,28812.0,Married
10,SX51350,0.0,Single
11,VQ65197,0.0,Married
12,DP39365,77026.0,Married
13,SJ95423,99845.0,Married
14,IL66569,83689.0,Single
15,BW63560,24599.0,Married
16,FV94802,25049.0,Married
17,OE15005,28855.0,Married
18,WC83389,51148.0,Married
19,FL50705,66140.0,Married
20,ZK25313,57749.0,Single
21,SV62436,13789.0,Divorced
22,YH23384,14072.0,Divorced
23,TZ98966,0.0,Single
24,HM55802,17870.0,Married
25,FS42516,97541.0,Married
26,US89481,0.0,Single
27,HO30839,10511.0,Married
28,GE62437,86584.0,Single
29,EJ77678,75690.0,Married
30,SV85652,23158.0,Married
31,UL64533,65999.0,Married
32,PF41800,0.0,Married
33,AO98601,54500.0,Married
34,SK67821,37260.0,Married
35,YV55495,68987.0,Married
36,KY38074,42305.0,Married
37,DM79012,65706.0,Married
38,CM61827,0.0,Single
39,WC35801,53243.0,Divorced
40,QG25316,0.0,Married
41,MB98372,50071.0,Single
42,IL19217,60021.0,Married
43,SR38658,43244.0,Married
44,DH41343,92834.0,Married
45,HG65722,10105.0,Married
46,BU27331,0.0,Single
47,XM45289,23218.0,Single
48,KP34198,0.0,Married
49,SH90947,0.0,Married
50,WE95729,24804.0,Married
51,PY51963,33190.0,Divorced
52,RB69909,36014.0,Married
53,XR95069,29834.0,Single
54,FR46645,16701.0,Married
55,SY17488,46623.0,Divorced
56,AP67935,64749.0,Married
57,FS37417,0.0,Married
58,ML29312,16969.0,Divorced
59,UB61619,11621.0,Divorced
60,CD86811,17622.0,Divorced
61,RU83859,11489.0,Married
62,FG63582,0.0,Single
63,NN71951,66525.0,Married
64,WB37082,0.0,Single
65,SM52139,33663.0,Married
